Generation: 1 | 3.25076 3.40328  | Fitness: -1.99978
Generation: 2 | -2.21666 -3.68742  | Fitness: -1.99124
Generation: 3 | 2.30071 -0.525791  | Fitness: -1.98532
Generation: 4 | -3.37972 -2.59241  | Fitness: -1.99889
Generation: 5 | 0.429191 1.01981  | Fitness: -1.99881
Generation: 6 | -2.11671 -3.65152  | Fitness: -1.99662
Generation: 7 | 2.19275 0.912997  | Fitness: -1.9997
Generation: 8 | -2.99377 -4.43488  | Fitness: -1.99782
Generation: 9 | -2.99377 -4.43488  | Fitness: -1.99782
Generation: 10 | 2.8298 2.88572  | Fitness: -1.99995
Generation: 11 | -0.463724 -1.67901  | Fitness: -1.99939
Generation: 12 | -2.03453 -2.57681  | Fitness: -2
Generation: 13 | 0.656405 -0.173647  | Fitness: -1.99614
Generation: 14 | -1.44018 -2.54172  | Fitness: -1.94433
Generation: 15 | 0.631586 0.242916  | Fitness: -1.99993
Generation: 16 | 0.21423 0.274017  | Fitness: -1.99134
Generation: 17 | 1.68283 0.548398  | Fitness: -1.99984
Generation: 18 | -0.323065 -0.763946  | Fitness: -1.99992
Generation: 19 | -0.323065 -0.763946  | Fitness: -1.99992
Generation: 20 | -0.323065 -0.763946  | Fitness: -1.99992
Generation: 21 | -4.02068 -3.92334  | Fitness: -2
Generation: 22 | -0.605806 -0.563712  | Fitness: -1.99415
Generation: 23 | 0.624089 0.259255  | Fitness: -1.99985
Generation: 24 | -0.470494 -0.814568  | Fitness: -1.99991
Generation: 25 | -0.470494 -0.814568  | Fitness: -1.99991
Generation: 26 | -0.470494 -0.814568  | Fitness: -1.99991
Generation: 27 | -0.470494 -0.814568  | Fitness: -1.99991
Generation: 28 | 3.36338 2.20213  | Fitness: -1.99957
Generation: 29 | 3.36338 2.20213  | Fitness: -1.99957
Generation: 30 | 3.27188 2.10777  | Fitness: -1.99617
Generation: 31 | 2.98186 1.90444  | Fitness: -2
Generation: 32 | -0.611827 -0.554118  | Fitness: -1.9782
Generation: 33 | -0.640225 -0.528343  | Fitness: -1.99982
Generation: 34 | -0.640225 -0.528343  | Fitness: -1.99982
Generation: 35 | -0.640225 -0.528343  | Fitness: -1.99982
Generation: 36 | 0.298493 0.207241  | Fitness: -1.99995
Generation: 37 | 0.298493 0.207241  | Fitness: -1.99995
Generation: 38 | -0.640133 -0.528421  | Fitness: -1.99984
Generation: 39 | -1.88641 -1.49326  | Fitness: -1.99664
Generation: 40 | 0.303778 0.190785  | Fitness: -1.99943
Generation: 41 | -0.817364 -0.121851  | Fitness: -1.98674
Generation: 42 | 0.287369 0.17819  | Fitness: -1.97724
Generation: 43 | 0.2744 0.204706  | Fitness: -1.98408
Generation: 44 | -4.08717 -3.21542  | Fitness: -1.99419
Generation: 45 | -4.03189 -3.16381  | Fitness: -2
Generation: 46 | -4.03189 -3.16381  | Fitness: -2
Generation: 47 | -1.57127 -1.47317  | Fitness: -1.99561
Generation: 48 | -3.99048 -3.04549  | Fitness: -1.99879
Generation: 49 | -1.56709 -1.60712  | Fitness: -1.99256
Generation: 50 | -0.729283 -0.595629  | Fitness: -1.99897
Generation: 51 | -1.55652 -1.59315  | Fitness: -1.98885
Generation: 52 | -0.463655 -0.489881  | Fitness: -1.99821
Generation: 53 | -1.64872 -0.779371  | Fitness: -1.99536
Generation: 54 | -0.817479 -0.465993  | Fitness: -1.99999
Generation: 55 | -0.817479 -0.465993  | Fitness: -1.99999
Generation: 56 | -0.752587 -0.561552  | Fitness: -1.99275
Generation: 57 | -3.73208 -3.11716  | Fitness: -1.99992
Generation: 58 | -3.73208 -3.11716  | Fitness: -1.99992
Generation: 59 | -3.45987 -2.50896  | Fitness: -1.99999
Generation: 60 | 0.267218 -0.251258  | Fitness: -1.99909
Generation: 61 | 0.267623 -0.246872  | Fitness: -1.99986
Generation: 62 | 0.268014 -0.242637  | Fitness: -1.99997
Generation: 63 | 0.268014 -0.242637  | Fitness: -1.99997
Generation: 64 | 0.266848 -0.243606  | Fitness: -1.99995
Generation: 65 | 0.266848 -0.243606  | Fitness: -1.99995
Generation: 66 | 0.202739 -0.296863  | Fitness: -1.99965
Generation: 67 | 0.184677 -0.315411  | Fitness: -1.99954
