Generation: 1 | -3.00638 2.08619  | Fitness: -1.99502
Generation: 2 | -2.75826 -0.928809  | Fitness: -1.99709
Generation: 3 | -0.375208 2.01964  | Fitness: -1.90008
Generation: 4 | -4.65492 -3.26069  | Fitness: -1.99309
Generation: 5 | -3.0933 -1.71747  | Fitness: -1.99965
Generation: 6 | -2.73708 1.59135  | Fitness: -1.9626
Generation: 7 | -0.326398 -0.136789  | Fitness: -1.99698
Generation: 8 | -0.367653 -0.0994767  | Fitness: -1.98304
Generation: 9 | -0.330508 -0.130262  | Fitness: -1.99785
Generation: 10 | -0.335808 -0.103848  | Fitness: -1.99507
Generation: 11 | -1.5003 0.507989  | Fitness: -1.99994
Generation: 12 | -0.452376 0.496797  | Fitness: -1.98953
Generation: 13 | 1.63742 -0.213038  | Fitness: -1.99552
Generation: 14 | -1.63548 -1.05642  | Fitness: -1.99776
Generation: 15 | 1.48775 1.4486  | Fitness: -1.99327
Generation: 16 | -0.326737 -0.114079  | Fitness: -1.98925
Generation: 17 | 0.462515 0.493416  | Fitness: -2
Generation: 18 | 0.462515 0.493416  | Fitness: -2
Generation: 19 | -1.98963 -1.65413  | Fitness: -1.99528
Generation: 20 | -0.625843 0.248189  | Fitness: -1.99494
Generation: 21 | -0.643998 0.217845  | Fitness: -1.99323
Generation: 22 | -0.636941 0.230473  | Fitness: -1.99942
Generation: 23 | -0.643998 0.217845  | Fitness: -1.99323
Generation: 24 | -0.643998 0.217845  | Fitness: -1.99323
Generation: 25 | -0.64422 0.217727  | Fitness: -1.99255
Generation: 26 | -0.661319 -0.155153  | Fitness: -1.99525
Generation: 27 | -0.645729 0.221841  | Fitness: -1.97712
Generation: 28 | -0.650165 -0.168475  | Fitness: -1.98826
Generation: 29 | -0.650349 0.182723  | Fitness: -1.99966
Generation: 30 | -0.343263 0.143502  | Fitness: -1.99555
Generation: 31 | -0.660326 0.14369  | Fitness: -1.99984
Generation: 32 | -0.660678 0.148484  | Fitness: -1.99963
Generation: 33 | -3.14225 -2.22669  | Fitness: -1.99968
Generation: 34 | -0.66224 0.138032  | Fitness: -1.99999
Generation: 35 | -0.670749 0.0714824  | Fitness: -1.99829
Generation: 36 | -0.671385 0.0811874  | Fitness: -2
Generation: 37 | -0.671402 0.0920098  | Fitness: -1.99901
Generation: 38 | -0.671064 0.0916579  | Fitness: -1.99949
Generation: 39 | -2.22866 -1.50286  | Fitness: -1.99926
Generation: 40 | -0.675059 0.0237313  | Fitness: -1.99961
Generation: 41 | -0.661246 -0.136157  | Fitness: -1.99921
Generation: 42 | 0.154239 -1.76309  | Fitness: -1.99912
Generation: 43 | -0.679994 -1.43026  | Fitness: -1.99796
Generation: 44 | -0.666762 -1.39743  | Fitness: -1.99982
Generation: 45 | 0.382358 0.00687494  | Fitness: -1.97994
Generation: 46 | 0.364398 -0.0175399  | Fitness: -1.99972
Generation: 47 | 0.356583 -0.0167513  | Fitness: -1.99876
Generation: 48 | 0.367931 0.0295676  | Fitness: -1.99786
Generation: 49 | 0.363826 0.0274753  | Fitness: -1.99971
Generation: 50 | 0.345613 0.0236263  | Fitness: -1.98967
Generation: 51 | -0.667159 -0.108196  | Fitness: -1.99989
Generation: 52 | 0.251459 0.254452  | Fitness: -1.99908
Generation: 53 | 0.251459 0.254452  | Fitness: -1.99908
Generation: 54 | 0.235894 0.248602  | Fitness: -1.98463
Generation: 55 | 0.235894 0.248602  | Fitness: -1.98463
Generation: 56 | 0.235627 0.248481  | Fitness: -1.98422
Generation: 57 | 0.236594 0.25134  | Fitness: -1.98808
Generation: 58 | 0.259218 0.23979  | Fitness: -1.9964
Generation: 59 | -0.662117 -0.13626  | Fitness: -1.99994
Generation: 60 | -0.662117 -0.13626  | Fitness: -1.99994
Generation: 61 | -0.662117 -0.13626  | Fitness: -1.99994
Generation: 62 | -0.656157 -0.171801  | Fitness: -1.99793
Generation: 63 | -0.649364 -0.179867  | Fitness: -1.9966
Generation: 64 | -0.631524 -1.41349  | Fitness: -1.99862
Generation: 65 | 0.285907 0.214986  | Fitness: -1.99908
Generation: 66 | 0.288202 0.214931  | Fitness: -1.99965
Generation: 67 | 0.284368 0.211082  | Fitness: -1.99715
Generation: 68 | -0.658371 -0.165199  | Fitness: -1.99672
Generation: 69 | -0.657334 -0.166438  | Fitness: -1.99833
Generation: 70 | -0.656446 -0.166395  | Fitness: -1.99958
Generation: 71 | -0.656446 -0.166395  | Fitness: -1.99958
Generation: 72 | -0.655978 -0.166168  | Fitness: -1.99993
Generation: 73 | -0.655765 -0.166072  | Fitness: -1.99999
Generation: 74 | -0.655204 -0.186015  | Fitness: -1.98751
Generation: 75 | -0.654341 -0.158301  | Fitness: -1.9948
Generation: 76 | -0.65415 -0.160694  | Fitness: -1.99599
Generation: 77 | -0.640244 -0.219888  | Fitness: -1.99979
Generation: 78 | -0.640244 -0.219888  | Fitness: -1.99979
Generation: 79 | -0.639992 -0.218759  | Fitness: -2
Generation: 80 | -0.639018 -0.217451  | Fitness: -1.99905
Generation: 81 | -0.639033 -0.217446  | Fitness: -1.99907
Generation: 82 | -0.652179 -0.177621  | Fitness: -1.99992
Generation: 83 | -0.642212 -0.212195  | Fitness: -2
Generation: 84 | -0.642212 -0.212195  | Fitness: -2
Generation: 85 | -0.642212 -0.212195  | Fitness: -2
Generation: 86 | -0.642212 -0.212195  | Fitness: -2
Generation: 87 | -0.642605 -0.211965  | Fitness: -1.99994
Generation: 88 | -0.641967 -0.212131  | Fitness: -1.99997
Generation: 89 | -0.640795 -0.215776  | Fitness: -1.99998
Generation: 90 | -0.642265 -0.211189  | Fitness: -1.99997
Generation: 91 | -0.640834 -0.215642  | Fitness: -1.99998
Generation: 92 | -0.641071 -0.21589  | Fitness: -1.99999
Generation: 93 | -0.641071 -0.21589  | Fitness: -1.99999
Generation: 94 | -0.641303 -0.211609  | Fitness: -1.99944
Generation: 95 | -0.63736 -0.222239  | Fitness: -1.99904
Generation: 96 | -0.637203 -0.222034  | Fitness: -1.99871
Generation: 97 | -0.637307 -0.222081  | Fitness: -1.99889
Generation: 98 | -0.637307 -0.222081  | Fitness: -1.99889
Generation: 99 | -0.641918 -0.218057  | Fitness: -1.99858
Generation: 100 | -0.641578 -0.21776  | Fitness: -1.99922
Generation: 101 | -0.640975 -0.217216  | Fitness: -1.99989
Generation: 102 | -0.640689 -0.217089  | Fitness: -1.99999
Generation: 103 | -0.640501 -0.217001  | Fitness: -2
Generation: 104 | -0.640525 -0.217026  | Fitness: -2
Generation: 105 | -0.640528 -0.217027  | Fitness: -2
Generation: 106 | -0.640372 -0.216986  | Fitness: -1.99998
Generation: 107 | -0.640502 -0.217279  | Fitness: -2
Generation: 108 | -0.640273 -0.217084  | Fitness: -1.99996
Generation: 109 | -0.640273 -0.217084  | Fitness: -1.99996
Generation: 110 | -0.639721 -0.216499  | Fitness: -1.9995
Generation: 111 | -0.639848 -0.216804  | Fitness: -1.9997
Generation: 112 | -0.639848 -0.216804  | Fitness: -1.9997
Generation: 113 | -0.639984 -0.217137  | Fitness: -1.99986
Generation: 114 | -0.639616 -0.217389  | Fitness: -1.99967
Generation: 115 | -0.103624 0.348977  | Fitness: -1.99987
Generation: 116 | -0.637002 -0.227778  | Fitness: -1.99998
Generation: 117 | -0.636838 -0.227591  | Fitness: -2
Generation: 118 | -0.636852 -0.227638  | Fitness: -2
Generation: 119 | -0.636747 -0.227538  | Fitness: -1.99999
Generation: 120 | -0.636624 -0.227367  | Fitness: -1.99994
Generation: 121 | -0.637313 -0.227435  | Fitness: -1.99993
Generation: 122 | -0.637047 -0.227268  | Fitness: -2
