Generation: 1 | -2.12726 -0.522446  | Fitness: -1.9759
Generation: 2 | -4.01632 -1.28094  | Fitness: -1.99707
Generation: 3 | 1.20298 2.90936  | Fitness: -1.9982
Generation: 4 | -1.51324 -2.52172  | Fitness: -1.98899
Generation: 5 | -1.51324 -2.52172  | Fitness: -1.98899
Generation: 6 | -3.7498 -2.77765  | Fitness: -1.98845
Generation: 7 | -3.7498 -2.77765  | Fitness: -1.98845
Generation: 8 | -3.51185 -3.52313  | Fitness: -1.99737
Generation: 9 | -3.51185 -3.52313  | Fitness: -1.99737
Generation: 10 | -3.51185 -3.52313  | Fitness: -1.99737
Generation: 11 | 0.95996 2.63427  | Fitness: -1.9996
Generation: 12 | 0.257785 0.288016  | Fitness: -1.97028
Generation: 13 | -3.38328 -2.4047  | Fitness: -1.9954
Generation: 14 | 0.222735 0.263719  | Fitness: -1.9881
Generation: 15 | -1.7046 -1.07229  | Fitness: -1.99616
Generation: 16 | -3.33473 -2.17638  | Fitness: -1.99765
Generation: 17 | -2.71248 -3.55858  | Fitness: -1.99981
Generation: 18 | -3.23908 -2.52144  | Fitness: -1.99998
Generation: 19 | -1.6809 -0.554346  | Fitness: -1.9999
Generation: 20 | 0.548933 2.44613  | Fitness: -1.99992
Generation: 21 | -1.70956 -0.456521  | Fitness: -1.99242
Generation: 22 | -3.19159 -2.3995  | Fitness: -1.99945
Generation: 23 | -1.53362 -0.612142  | Fitness: -1.9945
Generation: 24 | -4.40764 -3.22467  | Fitness: -1.99994
Generation: 25 | -3.8719 -3.28558  | Fitness: -1.99948
Generation: 26 | -3.8719 -3.28558  | Fitness: -1.99948
Generation: 27 | 0.326842 2.14802  | Fitness: -1.99988
Generation: 28 | 0.326842 2.14802  | Fitness: -1.99988
Generation: 29 | -1.77184 -0.531737  | Fitness: -2
Generation: 30 | 0.185211 1.96088  | Fitness: -1.99971
Generation: 31 | 0.246772 1.20764  | Fitness: -1.98392
Generation: 32 | 0.169892 -0.649271  | Fitness: -1.98561
Generation: 33 | 0.131256 -0.659295  | Fitness: -1.99103
Generation: 34 | -3.01671 -1.43091  | Fitness: -1.99962
Generation: 35 | -3.01671 -1.43091  | Fitness: -1.99962
Generation: 36 | -2.30304 -1.43196  | Fitness: -1.99993
Generation: 37 | -3.04215 -2.61172  | Fitness: -1.99347
Generation: 38 | -3.29585 -2.32059  | Fitness: -1.99253
Generation: 39 | -3.29585 -2.32059  | Fitness: -1.99253
Generation: 40 | -3.064 -2.18088  | Fitness: -1.99844
Generation: 41 | -1.52834 -0.531658  | Fitness: -1.9998
Generation: 42 | -3.23693 -2.28119  | Fitness: -1.99419
Generation: 43 | -1.74881 -2.59643  | Fitness: -1.99997
Generation: 44 | -1.74881 -2.59643  | Fitness: -1.99997
Generation: 45 | -1.74881 -2.59643  | Fitness: -1.99997
Generation: 46 | -3.09635 -2.58936  | Fitness: -1.99928
Generation: 47 | 0.165334 1.8425  | Fitness: -2
Generation: 48 | -1.68533 -2.55124  | Fitness: -1.99789
Generation: 49 | -0.270968 -0.24397  | Fitness: -1.99976
Generation: 50 | -0.270968 -0.24397  | Fitness: -1.99976
Generation: 51 | -3.00566 -2.36011  | Fitness: -1.9998
Generation: 52 | -0.275856 -0.235801  | Fitness: -1.99999
Generation: 53 | -0.27777 -0.24443  | Fitness: -1.99726
Generation: 54 | 0.306843 -0.191034  | Fitness: -1.99997
Generation: 55 | 0.306843 -0.191034  | Fitness: -1.99997
Generation: 56 | 0.306843 -0.191034  | Fitness: -1.99997
Generation: 57 | 0.306843 -0.191034  | Fitness: -1.99997
