Generation: 1 | 0.223941 -2.3644  | Fitness: -1.9971
Generation: 2 | 0.223941 -2.3644  | Fitness: -1.9971
Generation: 3 | 4.59932 1.63393  | Fitness: -1.99111
Generation: 4 | 4.59932 1.63393  | Fitness: -1.99111
Generation: 5 | 4.59932 1.63393  | Fitness: -1.99111
Generation: 6 | -4.66507 1.65412  | Fitness: -1.99994
Generation: 7 | -4.66507 1.65412  | Fitness: -1.99994
Generation: 8 | -3.75468 -3.52229  | Fitness: -1.99532
Generation: 9 | 4.10199 2.55572  | Fitness: -1.98721
Generation: 10 | -5.78883 -3.60044  | Fitness: -1.9914
Generation: 11 | -2.22125 -2.128  | Fitness: -1.99997
Generation: 12 | -2.22125 -2.128  | Fitness: -1.99997
Generation: 13 | -2.96228 -3.32443  | Fitness: -1.96955
Generation: 14 | -0.779811 -1.58948  | Fitness: -1.99486
Generation: 15 | -4.17881 -2.32874  | Fitness: -1.99938
Generation: 16 | -0.341858 -0.0331686  | Fitness: -1.98572
Generation: 17 | -0.365931 -0.0786093  | Fitness: -1.99319
Generation: 18 | -1.64222 -0.167256  | Fitness: -1.99999
Generation: 19 | -1.64222 -0.167256  | Fitness: -1.99999
Generation: 20 | -1.02652 0.0925662  | Fitness: -1.99999
Generation: 21 | -1.02652 0.0925662  | Fitness: -1.99999
Generation: 22 | -1.02652 0.0925662  | Fitness: -1.99999
Generation: 23 | -1.02652 0.0925662  | Fitness: -1.99999
Generation: 24 | -1.02652 0.0925662  | Fitness: -1.99999
Generation: 25 | -0.706837 -0.751718  | Fitness: -1.99576
Generation: 26 | 3.73478 2.21021  | Fitness: -1.99367
Generation: 27 | -1.43683 -2.07105  | Fitness: -1.99915
Generation: 28 | -1.29588 -1.4831  | Fitness: -1.99997
Generation: 29 | -1.29588 -1.4831  | Fitness: -1.99997
Generation: 30 | -0.586427 0.335283  | Fitness: -1.99964
Generation: 31 | -0.605646 0.300719  | Fitness: -1.99999
Generation: 32 | -1.61797 -0.028222  | Fitness: -1.99964
Generation: 33 | -1.61797 -0.028222  | Fitness: -1.99964
Generation: 34 | -1.61797 -0.028222  | Fitness: -1.99964
Generation: 35 | -1.61797 -0.028222  | Fitness: -1.99964
Generation: 36 | -1.61797 -0.028222  | Fitness: -1.99964
Generation: 37 | -0.618169 0.280163  | Fitness: -1.99695
Generation: 38 | -0.618649 0.278985  | Fitness: -1.99707
Generation: 39 | -0.618641 0.279005  | Fitness: -1.99707
Generation: 40 | -0.622596 0.273042  | Fitness: -1.99326
Generation: 41 | -0.608474 0.286728  | Fitness: -1.99274
Generation: 42 | -0.633481 0.233905  | Fitness: -1.99941
Generation: 43 | -0.633481 0.233905  | Fitness: -1.99941
Generation: 44 | 0.176707 -1.60845  | Fitness: -1.99995
Generation: 45 | -0.636801 0.222619  | Fitness: -1.99837
Generation: 46 | -0.649294 0.195272  | Fitness: -1.99844
Generation: 47 | -0.649294 0.195272  | Fitness: -1.99844
Generation: 48 | -0.647089 0.196626  | Fitness: -2
Generation: 49 | 2.94376 1.67168  | Fitness: -1.99835
Generation: 50 | 0.119823 0.377184  | Fitness: -1.94071
Generation: 51 | 0.296502 0.209446  | Fitness: -1.99998
Generation: 52 | 0.296502 0.209446  | Fitness: -1.99998
Generation: 53 | 0.279252 0.206978  | Fitness: -1.99108
Generation: 54 | -0.844242 -1.52445  | Fitness: -1.98075
Generation: 55 | -1.56365 -1.2688  | Fitness: -1.99908
Generation: 56 | -0.686959 -1.46482  | Fitness: -1.99948
Generation: 57 | -0.686959 -1.46482  | Fitness: -1.99948
Generation: 58 | -0.671456 -1.43465  | Fitness: -1.99999
Generation: 59 | -0.188568 0.301467  | Fitness: -1.99804
Generation: 60 | -0.196315 0.29616  | Fitness: -1.99789
Generation: 61 | -0.128339 -1.73695  | Fitness: -1.99998
Generation: 62 | -0.20043 0.289934  | Fitness: -1.99589
Generation: 63 | -0.50844 -1.72398  | Fitness: -1.99993
Generation: 64 | -0.50844 -1.72398  | Fitness: -1.99993
Generation: 65 | -0.50844 -1.72398  | Fitness: -1.99993
Generation: 66 | -1.44699 -1.66951  | Fitness: -1.99835
Generation: 67 | -0.560598 -1.48183  | Fitness: -1.99856
Generation: 68 | -0.324422 0.16749  | Fitness: -1.99965
Generation: 69 | -0.324422 0.16749  | Fitness: -1.99965
Generation: 70 | -0.315617 0.17078  | Fitness: -1.99947
Generation: 71 | 0.16409 0.323148  | Fitness: -2
Generation: 72 | 0.162268 0.318525  | Fitness: -1.99898
Generation: 73 | -0.284703 -0.899919  | Fitness: -1.98186
Generation: 74 | -1.73289 -1.79154  | Fitness: -1.97683
Generation: 75 | -2.7974 -1.65539  | Fitness: -1.9999
Generation: 76 | -0.221239 -0.798555  | Fitness: -1.99861
Generation: 77 | 0.137248 0.318126  | Fitness: -1.98973
Generation: 78 | -0.92518 -1.03287  | Fitness: -1.99989
Generation: 79 | -0.24519 0.265578  | Fitness: -1.99997
Generation: 80 | -0.238787 0.266395  | Fitness: -1.99909
Generation: 81 | -0.239555 0.262318  | Fitness: -1.99785
Generation: 82 | -0.239555 0.262318  | Fitness: -1.99785
Generation: 83 | -0.289937 0.205388  | Fitness: -1.99789
Generation: 84 | -0.289937 0.205388  | Fitness: -1.99789
Generation: 85 | -0.289713 0.205403  | Fitness: -1.99778
Generation: 86 | -0.329011 -0.149661  | Fitness: -1.99997
Generation: 87 | -0.328376 -0.146398  | Fitness: -1.99966
Generation: 88 | -0.32109 -0.173196  | Fitness: -1.99972
Generation: 89 | -0.32109 -0.173196  | Fitness: -1.99972
Generation: 90 | -0.320401 -0.166823  | Fitness: -1.99995
Generation: 91 | -0.319911 -0.166257  | Fitness: -1.99986
Generation: 92 | -0.319723 -0.166155  | Fitness: -1.99982
Generation: 93 | -0.319604 -0.163836  | Fitness: -1.99956
Generation: 94 | -0.330387 -0.17877  | Fitness: -1.99148
Generation: 95 | -0.319684 -0.172888  | Fitness: -1.99994
Generation: 96 | -0.319684 -0.172888  | Fitness: -1.99994
Generation: 97 | -0.31899 -0.172205  | Fitness: -2
Generation: 98 | -0.31899 -0.172205  | Fitness: -2
Generation: 99 | -0.319282 -0.171174  | Fitness: -2
Generation: 100 | -0.319664 -0.171527  | Fitness: -1.99999
Generation: 101 | -0.319664 -0.171527  | Fitness: -1.99999
Generation: 102 | -0.31931 -0.16912  | Fitness: -1.99996
Generation: 103 | 0.473161 0.482601  | Fitness: -1.99988
Generation: 104 | -0.3164 -0.17316  | Fitness: -1.99988
Generation: 105 | -0.317968 -0.175993  | Fitness: -1.99995
Generation: 106 | -0.317225 -0.175212  | Fitness: -2
Generation: 107 | -0.316919 -0.174926  | Fitness: -1.99999
Generation: 108 | -0.316919 -0.174926  | Fitness: -1.99999
Generation: 109 | -0.316919 -0.174926  | Fitness: -1.99999
Generation: 110 | -0.316919 -0.174926  | Fitness: -1.99999
Generation: 111 | -0.316917 -0.174916  | Fitness: -1.99999
Generation: 112 | -0.316917 -0.174916  | Fitness: -1.99999
Generation: 113 | -0.316917 -0.174916  | Fitness: -1.99999
Generation: 114 | -0.316916 -0.174915  | Fitness: -1.99999
Generation: 115 | -0.316888 -0.174783  | Fitness: -1.99999
Generation: 116 | -0.316872 -0.174769  | Fitness: -1.99999
Generation: 117 | -0.317041 -0.174683  | Fitness: -1.99999
Generation: 118 | -0.317316 -0.174699  | Fitness: -2
Generation: 119 | -0.317006 -0.17462  | Fitness: -1.99999
Generation: 120 | -0.317275 -0.174367  | Fitness: -2
Generation: 121 | -0.31726 -0.174356  | Fitness: -2
Generation: 122 | -0.317283 -0.174443  | Fitness: -2
Generation: 123 | -0.317283 -0.174443  | Fitness: -2
Generation: 124 | -0.317047 -0.17424  | Fitness: -1.99999
Generation: 125 | -0.317014 -0.174081  | Fitness: -1.99998
Generation: 126 | -0.317009 -0.174078  | Fitness: -1.99998
Generation: 127 | -0.317631 -0.1745  | Fitness: -2
Generation: 128 | -0.317616 -0.174489  | Fitness: -2
Generation: 129 | -0.318055 -0.173832  | Fitness: -2
Generation: 130 | -0.31803 -0.17383  | Fitness: -2
Generation: 131 | -0.318005 -0.173827  | Fitness: -2
Generation: 132 | -0.31798 -0.173827  | Fitness: -2
Generation: 133 | -0.31798 -0.173827  | Fitness: -2
Generation: 134 | -0.317969 -0.17413  | Fitness: -2
Generation: 135 | -0.317954 -0.174112  | Fitness: -2
Generation: 136 | -0.317129 -0.175124  | Fitness: -2
Generation: 137 | -0.317661 -0.174032  | Fitness: -2
Generation: 138 | -0.317661 -0.174032  | Fitness: -2
Generation: 139 | -0.317661 -0.174032  | Fitness: -2
Generation: 140 | -0.317643 -0.174649  | Fitness: -2
Generation: 141 | -0.317634 -0.174622  | Fitness: -2
Generation: 142 | -0.317634 -0.174622  | Fitness: -2
Generation: 143 | -0.317433 -0.174459  | Fitness: -2
Generation: 144 | -0.317626 -0.174616  | Fitness: -2
Generation: 145 | -0.317614 -0.174596  | Fitness: -2
Generation: 146 | -0.317582 -0.174554  | Fitness: -2
Generation: 147 | -0.317575 -0.174537  | Fitness: -2
Generation: 148 | -0.317569 -0.174527  | Fitness: -2
Generation: 149 | -0.317554 -0.174509  | Fitness: -2
Generation: 150 | -0.317554 -0.174505  | Fitness: -2
Generation: 151 | -0.317541 -0.174494  | Fitness: -2
Generation: 152 | -0.31754 -0.174483  | Fitness: -2
Generation: 153 | -0.31754 -0.174483  | Fitness: -2
Generation: 154 | -0.31754 -0.174483  | Fitness: -2
Generation: 155 | -0.31754 -0.174483  | Fitness: -2
Generation: 156 | -0.317536 -0.17448  | Fitness: -2
Generation: 157 | -0.317322 -0.174298  | Fitness: -2
Generation: 158 | -0.317424 -0.174477  | Fitness: -2
Generation: 159 | -0.317424 -0.174477  | Fitness: -2
Generation: 160 | -0.317621 -0.174393  | Fitness: -2
Generation: 161 | -0.317611 -0.174387  | Fitness: -2
Generation: 162 | -0.317603 -0.174384  | Fitness: -2
Generation: 163 | -0.317603 -0.174384  | Fitness: -2
Generation: 164 | -0.317594 -0.174379  | Fitness: -2
Generation: 165 | -0.317594 -0.174379  | Fitness: -2
Generation: 166 | -0.317594 -0.174379  | Fitness: -2
Generation: 167 | -0.317584 -0.174372  | Fitness: -2
Generation: 168 | -0.317584 -0.174371  | Fitness: -2
Generation: 169 | -0.317584 -0.174371  | Fitness: -2
Generation: 170 | -0.317583 -0.17437  | Fitness: -2
Generation: 171 | -0.317582 -0.17437  | Fitness: -2
Generation: 172 | -0.317582 -0.17437  | Fitness: -2
Generation: 173 | -0.317574 -0.174363  | Fitness: -2
Generation: 174 | -0.317566 -0.174356  | Fitness: -2
Generation: 175 | -0.317566 -0.174356  | Fitness: -2
Generation: 176 | -0.317565 -0.174356  | Fitness: -2
Generation: 177 | -0.317558 -0.17435  | Fitness: -2
Generation: 178 | -0.317558 -0.17435  | Fitness: -2
Generation: 179 | -0.317558 -0.17435  | Fitness: -2
Generation: 180 | -0.317558 -0.17435  | Fitness: -2
Generation: 181 | -0.317558 -0.17435  | Fitness: -2
Generation: 182 | -0.317577 -0.174536  | Fitness: -2
Generation: 183 | -0.317576 -0.174533  | Fitness: -2
Generation: 184 | -0.31756 -0.174517  | Fitness: -2
Generation: 185 | -0.317551 -0.174507  | Fitness: -2
Generation: 186 | -0.317543 -0.174497  | Fitness: -2
Generation: 187 | -0.317531 -0.174485  | Fitness: -2
Generation: 188 | -0.317524 -0.174479  | Fitness: -2
Generation: 189 | -0.317327 -0.174317  | Fitness: -2
Generation: 190 | -0.317327 -0.174317  | Fitness: -2
Generation: 191 | -0.317327 -0.174317  | Fitness: -2
Generation: 192 | -0.317327 -0.174317  | Fitness: -2
Generation: 193 | -0.317322 -0.174313  | Fitness: -2
Generation: 194 | -0.317314 -0.174303  | Fitness: -2
Generation: 195 | -0.317314 -0.174303  | Fitness: -2
Generation: 196 | -0.317288 -0.174279  | Fitness: -2
Generation: 197 | -0.317284 -0.174276  | Fitness: -2
Generation: 198 | -0.317135 -0.174152  | Fitness: -1.99999
Generation: 199 | -0.317135 -0.174152  | Fitness: -1.99999
Generation: 200 | -0.317048 -0.174079  | Fitness: -1.99998
