Generation: 1 | 2.92764 -0.0455755  | Fitness: -2.66838
Generation: 2 | 3.75909 2.69824  | Fitness: -1.87242
Generation: 3 | 0.99856 4.44722  | Fitness: -1.58416
Generation: 4 | 0.99856 4.44722  | Fitness: -1.58416
Generation: 5 | 2.70061 -0.239783  | Fitness: -2.65305
Generation: 6 | 1.01927 4.36632  | Fitness: -1.93932
Generation: 7 | 1.00806 4.2458  | Fitness: -1.90464
Generation: 8 | 2.43666 2.31617  | Fitness: -2.11602
Generation: 9 | 0.869893 4.01239  | Fitness: -2.0742
Generation: 10 | 0.369141 2.66794  | Fitness: -0.707404
Generation: 11 | 2.27602 3.85763  | Fitness: -1.21727
Generation: 12 | 2.27602 3.85763  | Fitness: -1.21727
Generation: 13 | 2.18932 3.76312  | Fitness: -0.461474
Generation: 14 | 2.18932 3.76312  | Fitness: -0.461474
Generation: 15 | 0.285053 -0.722045  | Fitness: -0.729102
Generation: 16 | 0.285053 -0.722045  | Fitness: -0.729102
Generation: 17 | 0.285789 -0.750729  | Fitness: -0.738489
Generation: 18 | 0.284494 -0.668326  | Fitness: -0.528025
Generation: 19 | 0.238883 -0.717905  | Fitness: -0.717136
Generation: 20 | 0.155368 -1.6146  | Fitness: -0.140579
Generation: 21 | 0.222683 -1.62648  | Fitness: -0.200329
Generation: 22 | -0.522617 -0.915053  | Fitness: -0.204299
Generation: 23 | -0.557033 -0.959776  | Fitness: -0.067731
Generation: 24 | 0.284608 -1.69103  | Fitness: -0.16362
Generation: 25 | -0.161294 -2.37073  | Fitness: -0.030219
Generation: 26 | 0.118987 -1.07867  | Fitness: -0.370139
Generation: 27 | 0.0918607 -1.10366  | Fitness: -0.374953
Generation: 28 | 0.0918607 -1.10366  | Fitness: -0.374953
Generation: 29 | 0.0944447 -1.12629  | Fitness: -0.331052
Generation: 30 | 0.0944447 -1.12629  | Fitness: -0.331052
Generation: 31 | 0.0944447 -1.12629  | Fitness: -0.331052
Generation: 32 | 0.0944447 -1.12629  | Fitness: -0.331052
Generation: 33 | 0.079318 -1.0588  | Fitness: -0.390699
Generation: 34 | 0.0783019 -1.06134  | Fitness: -0.392541
Generation: 35 | 0.0478521 -1.07328  | Fitness: -0.356114
Generation: 36 | 0.0359444 -1.10429  | Fitness: -0.222863
Generation: 37 | 0.0359444 -1.10429  | Fitness: -0.222863
Generation: 38 | 0.0359444 -1.10429  | Fitness: -0.222863
Generation: 39 | 0.0222932 -1.11335  | Fitness: -0.13
Generation: 40 | 0.0222932 -1.11335  | Fitness: -0.13
Generation: 41 | 0.525875 -0.511371  | Fitness: -0.161443
Generation: 42 | -0.142525 -1.34449  | Fitness: -0.194264
Generation: 43 | -0.143648 -1.35006  | Fitness: -0.186233
Generation: 44 | -0.143648 -1.35006  | Fitness: -0.186233
Generation: 45 | 0.521804 -0.509834  | Fitness: -0.133336
Generation: 46 | -0.215979 -0.845358  | Fitness: -0.192958
Generation: 47 | -0.20325 -0.839572  | Fitness: -0.265337
