Generation: 1 | 1.91463 1.28916  | Fitness: -4.85765
Generation: 2 | 2.72695 -0.129236  | Fitness: -2.35412
Generation: 3 | 1.92648 2.28599  | Fitness: -1.89763
Generation: 4 | 0.763804 1.81985  | Fitness: -1.64828
Generation: 5 | 0.727767 1.71252  | Fitness: -2.14217
Generation: 6 | 0.653691 1.64331  | Fitness: -2.02707
Generation: 7 | 0.691888 1.66883  | Fitness: -2.24006
Generation: 8 | 0.707808 1.53342  | Fitness: -2.89343
Generation: 9 | 0.762297 1.57581  | Fitness: -2.81092
Generation: 10 | 0.762297 1.57581  | Fitness: -2.81092
Generation: 11 | 0.762297 1.57581  | Fitness: -2.81092
Generation: 12 | 0.784929 1.60261  | Fitness: -2.6972
Generation: 13 | 0.784929 1.60261  | Fitness: -2.6972
Generation: 14 | 0.781543 1.59938  | Fitness: -2.71982
Generation: 15 | 0.71263 1.58969  | Fitness: -2.92485
Generation: 16 | 0.71263 1.58969  | Fitness: -2.92485
Generation: 17 | 0.745896 1.61245  | Fitness: -2.89312
Generation: 18 | 0.704989 1.53994  | Fitness: -2.91025
Generation: 19 | 0.724992 1.54692  | Fitness: -2.90568
Generation: 20 | 0.708846 1.58744  | Fitness: -2.91929
Generation: 21 | 0.708501 1.587  | Fitness: -2.91922
Generation: 22 | 0.707561 1.58553  | Fitness: -2.91952
Generation: 23 | 0.672988 1.56261  | Fitness: -2.78548
Generation: 24 | 0.672988 1.56261  | Fitness: -2.78548
Generation: 25 | 0.636606 1.51182  | Fitness: -2.5052
Generation: 26 | 0.628428 1.51246  | Fitness: -2.41305
Generation: 27 | 0.610641 1.46428  | Fitness: -2.20553
Generation: 28 | 0.610399 1.46302  | Fitness: -2.20282
Generation: 29 | 0.573014 1.39577  | Fitness: -1.82935
Generation: 30 | 0.573014 1.39577  | Fitness: -1.82935
Generation: 31 | 0.537218 1.33109  | Fitness: -1.63813
Generation: 32 | 0.529455 1.34569  | Fitness: -1.39788
Generation: 33 | 0.511986 1.31672  | Fitness: -1.28141
Generation: 34 | 0.511711 1.31643  | Fitness: -1.27822
Generation: 35 | 0.511113 1.31558  | Fitness: -1.27288
Generation: 36 | 0.511113 1.31558  | Fitness: -1.27288
Generation: 37 | 0.511103 1.31557  | Fitness: -1.27278
Generation: 38 | 0.510026 1.31397  | Fitness: -1.26357
Generation: 39 | 0.477138 1.2497  | Fitness: -0.99433
Generation: 40 | 0.476587 1.24869  | Fitness: -0.987179
Generation: 41 | 0.476252 1.24837  | Fitness: -0.981422
Generation: 42 | 0.476247 1.24836  | Fitness: -0.981348
Generation: 43 | 0.446057 1.20426  | Fitness: -0.449385
Generation: 44 | 0.443867 1.21026  | Fitness: -0.388758
Generation: 45 | 0.443867 1.21026  | Fitness: -0.388758
Generation: 46 | 0.443524 1.21015  | Fitness: -0.381239
Generation: 47 | 0.443524 1.21015  | Fitness: -0.381239
Generation: 48 | 0.442967 1.20935  | Fitness: -0.370238
Generation: 49 | 0.442967 1.20935  | Fitness: -0.370238
Generation: 50 | 0.442967 1.20935  | Fitness: -0.370238
Generation: 51 | 0.442967 1.20935  | Fitness: -0.370238
Generation: 52 | 0.442967 1.20935  | Fitness: -0.370238
Generation: 53 | 0.442831 1.181  | Fitness: -0.402404
Generation: 54 | -0.607503 -0.00135618  | Fitness: -0.337396
Generation: 55 | -0.607503 -0.00135618  | Fitness: -0.337396
Generation: 56 | -0.617868 -0.00976414  | Fitness: -0.372861
Generation: 57 | -0.635233 -0.0317967  | Fitness: -0.385805
Generation: 58 | 0.40234 -0.04286  | Fitness: -0.66245
Generation: 59 | 0.369965 -0.077246  | Fitness: -1.2376
Generation: 60 | 0.352211 -0.0957804  | Fitness: -1.38135
Generation: 61 | 0.331062 -0.103771  | Fitness: -1.39321
Generation: 62 | 0.331062 -0.103771  | Fitness: -1.39321
Generation: 63 | 0.331137 -0.103173  | Fitness: -1.39386
Generation: 64 | 0.319121 -0.0767433  | Fitness: -1.39675
Generation: 65 | 0.320848 -0.0694328  | Fitness: -1.39819
Generation: 66 | 0.320848 -0.0694328  | Fitness: -1.39819
Generation: 67 | 0.320127 -0.0694485  | Fitness: -1.3983
Generation: 68 | 0.319431 -0.0694637  | Fitness: -1.39834
Generation: 69 | 0.320848 -0.0694328  | Fitness: -1.39819
Generation: 70 | 0.319663 -0.0711849  | Fitness: -1.39834
Generation: 71 | 0.318594 -0.0712338  | Fitness: -1.39808
Generation: 72 | 0.318585 -0.0712515  | Fitness: -1.39808
Generation: 73 | 0.31787 -0.0717239  | Fitness: -1.39769
Generation: 74 | 0.31787 -0.0717239  | Fitness: -1.39769
Generation: 75 | 0.31787 -0.0717239  | Fitness: -1.39769
Generation: 76 | 0.316761 -0.0725314  | Fitness: -1.39674
Generation: 77 | 0.316761 -0.0725314  | Fitness: -1.39674
Generation: 78 | 0.316045 -0.0729805  | Fitness: -1.39594
Generation: 79 | 0.315958 -0.0738761  | Fitness: -1.39537
Generation: 80 | 0.315958 -0.0738761  | Fitness: -1.39537
Generation: 81 | 0.315958 -0.0738761  | Fitness: -1.39537
Generation: 82 | 0.315516 -0.0742281  | Fitness: -1.39469
Generation: 83 | 0.314753 -0.0750247  | Fitness: -1.39321
Generation: 84 | 0.314108 -0.0755627  | Fitness: -1.39189
Generation: 85 | 0.315832 -0.075521  | Fitness: -1.39419
