Generation: 1 | 2.11832 0.546525  | Fitness: -3.58849
Generation: 2 | 2.11832 0.546525  | Fitness: -3.58849
Generation: 3 | 2.18211 0.703738  | Fitness: -4.52803
Generation: 4 | 2.18211 0.703738  | Fitness: -4.52803
Generation: 5 | 2.25391 0.737167  | Fitness: -4.30685
Generation: 6 | 2.25386 0.737074  | Fitness: -4.30675
Generation: 7 | 2.18689 0.696801  | Fitness: -4.47746
Generation: 8 | 2.18689 0.696801  | Fitness: -4.47746
Generation: 9 | 2.17546 1.31368  | Fitness: -4.39825
Generation: 10 | 2.17753 0.79035  | Fitness: -4.75088
Generation: 11 | 2.17966 0.801305  | Fitness: -4.75008
Generation: 12 | 2.08626 0.726273  | Fitness: -4.82434
Generation: 13 | 1.97741 0.90346  | Fitness: -5.01154
Generation: 14 | 1.97741 0.90346  | Fitness: -5.01154
Generation: 15 | 2.0346 0.923951  | Fitness: -5.06434
Generation: 16 | 2.03188 0.919559  | Fitness: -5.05931
Generation: 17 | 1.97521 0.934306  | Fitness: -5.0736
Generation: 18 | 2.07137 1.01034  | Fitness: -5.08194
Generation: 19 | 1.97998 0.953938  | Fitness: -5.11142
Generation: 20 | 1.98716 0.963322  | Fitness: -5.12917
Generation: 21 | 2.03562 0.978762  | Fitness: -5.13135
Generation: 22 | 1.99409 0.972383  | Fitness: -5.14266
Generation: 23 | 1.99409 0.972383  | Fitness: -5.14266
Generation: 24 | 1.99409 0.972383  | Fitness: -5.14266
Generation: 25 | 1.99409 0.972383  | Fitness: -5.14266
Generation: 26 | 1.99142 0.970876  | Fitness: -5.14012
Generation: 27 | 1.9945 0.975429  | Fitness: -5.14584
Generation: 28 | 1.9945 0.975429  | Fitness: -5.14584
Generation: 29 | 1.9945 0.975429  | Fitness: -5.14584
Generation: 30 | 1.99633 0.978705  | Fitness: -5.1493
Generation: 31 | 1.99633 0.978705  | Fitness: -5.1493
Generation: 32 | 2.00133 0.984908  | Fitness: -5.15479
Generation: 33 | 1.99972 0.983895  | Fitness: -5.15395
Generation: 34 | 1.99961 0.983763  | Fitness: -5.15385
Generation: 35 | 1.99961 0.983763  | Fitness: -5.15385
Generation: 36 | 1.99592 0.981576  | Fitness: -5.15156
Generation: 37 | 1.99827 0.98603  | Fitness: -5.1552
Generation: 38 | 1.99675 0.985022  | Fitness: -5.15426
Generation: 39 | 1.99519 0.983914  | Fitness: -5.15312
Generation: 40 | 1.99519 0.983914  | Fitness: -5.15312
Generation: 41 | 1.99519 0.983914  | Fitness: -5.15312
Generation: 42 | 1.99487 0.983484  | Fitness: -5.15273
Generation: 43 | 1.99522 0.986351  | Fitness: -5.15477
Generation: 44 | 1.99522 0.986351  | Fitness: -5.15477
Generation: 45 | 1.99522 0.986351  | Fitness: -5.15477
Generation: 46 | 1.99351 0.984973  | Fitness: -5.15337
Generation: 47 | 1.99351 0.984973  | Fitness: -5.15337
Generation: 48 | 1.99158 0.983663  | Fitness: -5.15178
Generation: 49 | 1.99003 0.982654  | Fitness: -5.15041
Generation: 50 | 1.98845 0.98158  | Fitness: -5.14887
Generation: 51 | 1.98511 0.979782  | Fitness: -5.14565
Generation: 52 | 1.98511 0.979782  | Fitness: -5.14565
Generation: 53 | 1.98505 0.979721  | Fitness: -5.14557
Generation: 54 | 1.98357 0.97874  | Fitness: -5.14385
Generation: 55 | 1.98213 0.977758  | Fitness: -5.14205
Generation: 56 | 1.98159 0.977224  | Fitness: -5.14121
Generation: 57 | 1.98154 0.977192  | Fitness: -5.14115
Generation: 58 | 1.98039 0.9765  | Fitness: -5.13971
Generation: 59 | 1.98023 0.975424  | Fitness: -5.13858
Generation: 60 | 1.97996 0.975161  | Fitness: -5.13813
Generation: 61 | 1.97529 0.972644  | Fitness: -5.13196
Generation: 62 | 1.97502 0.972106  | Fitness: -5.13117
Generation: 63 | 1.97497 0.972075  | Fitness: -5.13109
Generation: 64 | 1.97497 0.972075  | Fitness: -5.13109
Generation: 65 | 1.97478 0.971881  | Fitness: -5.13073
Generation: 66 | 1.97478 0.971881  | Fitness: -5.13073
Generation: 67 | 1.97461 0.971767  | Fitness: -5.13047
Generation: 68 | 1.97459 0.971753  | Fitness: -5.13043
Generation: 69 | 1.97275 0.970536  | Fitness: -5.1275
Generation: 70 | 1.97249 0.970365  | Fitness: -5.12708
Generation: 71 | 1.9724 0.970298  | Fitness: -5.12693
Generation: 72 | 1.97082 0.969258  | Fitness: -5.12431
Generation: 73 | 1.96925 0.968233  | Fitness: -5.12164
Generation: 74 | 1.96925 0.968233  | Fitness: -5.12164
Generation: 75 | 1.96923 0.968216  | Fitness: -5.12159
Generation: 76 | 1.96917 0.968168  | Fitness: -5.12148
Generation: 77 | 1.96917 0.968167  | Fitness: -5.12148
Generation: 78 | 1.96917 0.968167  | Fitness: -5.12148
Generation: 79 | 1.96917 0.968167  | Fitness: -5.12148
Generation: 80 | 1.96757 0.967116  | Fitness: -5.11866
Generation: 81 | 1.96739 0.966983  | Fitness: -5.11832
Generation: 82 | 1.96699 0.966241  | Fitness: -5.11704
Generation: 83 | 1.96699 0.966241  | Fitness: -5.11704
Generation: 84 | 1.96699 0.96624  | Fitness: -5.11703
Generation: 85 | 1.96699 0.96624  | Fitness: -5.11703
Generation: 86 | 1.96699 0.96624  | Fitness: -5.11703
Generation: 87 | 1.96699 0.96624  | Fitness: -5.11703
Generation: 88 | 1.96699 0.96624  | Fitness: -5.11703
Generation: 89 | 1.96699 0.96624  | Fitness: -5.11703
Generation: 90 | 1.96668 0.966041  | Fitness: -5.11648
Generation: 91 | 1.9666 0.965987  | Fitness: -5.11633
Generation: 92 | 1.9666 0.965987  | Fitness: -5.11633
Generation: 93 | 1.96657 0.965954  | Fitness: -5.11626
Generation: 94 | 1.96654 0.965932  | Fitness: -5.1162
Generation: 95 | 1.96652 0.965916  | Fitness: -5.11616
Generation: 96 | 1.96649 0.965901  | Fitness: -5.11612
Generation: 97 | 1.96649 0.965901  | Fitness: -5.11612
Generation: 98 | 1.96644 0.96587  | Fitness: -5.11603
Generation: 99 | 1.96639 0.965834  | Fitness: -5.11593
Generation: 100 | 1.96636 0.965816  | Fitness: -5.11588
Generation: 101 | 1.96631 0.965785  | Fitness: -5.11579
Generation: 102 | 1.96631 0.965785  | Fitness: -5.11579
Generation: 103 | 1.96626 0.965756  | Fitness: -5.11571
Generation: 104 | 1.96626 0.965756  | Fitness: -5.11571
Generation: 105 | 1.96626 0.965756  | Fitness: -5.11571
Generation: 106 | 1.96626 0.965756  | Fitness: -5.11571
Generation: 107 | 1.96621 0.965719  | Fitness: -5.1156
Generation: 108 | 1.96621 0.965719  | Fitness: -5.1156
Generation: 109 | 1.96621 0.965719  | Fitness: -5.1156
