Generation: 1 | 13.6607 0.00253353  | Fitness: -53.8972
Generation: 2 | 13.3203 0.287756  | Fitness: -40.9359
Generation: 3 | 13.3203 0.287756  | Fitness: -40.9359
Generation: 4 | -8.35986 -1.50003  | Fitness: -48.6959
Generation: 5 | -8.03809 -1.43203  | Fitness: -48.316
Generation: 6 | -8.03809 -1.43203  | Fitness: -48.316
Generation: 7 | -8.03809 -1.43203  | Fitness: -48.316
Generation: 8 | -17.4143 -1.52213  | Fitness: -56.0312
Generation: 9 | -17.0519 -1.51671  | Fitness: -56.0028
Generation: 10 | -18.332 -1.59182  | Fitness: -56.4758
Generation: 11 | -18.332 -1.59182  | Fitness: -56.4758
Generation: 12 | -18.332 -1.59182  | Fitness: -56.4758
Generation: 13 | -18.2437 -1.58589  | Fitness: -56.4876
Generation: 14 | -18.2035 -1.55306  | Fitness: -56.4166
Generation: 15 | -18.1235 -1.54876  | Fitness: -56.5421
Generation: 16 | -18.2007 -1.55291  | Fitness: -56.4166
Generation: 17 | -18.2007 -1.55291  | Fitness: -56.4166
Generation: 18 | -18.1073 -1.52142  | Fitness: -56.4919
Generation: 19 | -18.1073 -1.52142  | Fitness: -56.4919
Generation: 20 | -18.1073 -1.52142  | Fitness: -56.4919
Generation: 21 | -18.1004 -1.48692  | Fitness: -56.4925
Generation: 22 | -18.1004 -1.48692  | Fitness: -56.4925
Generation: 23 | -18.1004 -1.48692  | Fitness: -56.4925
Generation: 24 | -18.1004 -1.48692  | Fitness: -56.4925
Generation: 25 | -18.093 -1.45801  | Fitness: -56.4925
Generation: 26 | -18.093 -1.45801  | Fitness: -56.4925
Generation: 27 | -17.9852 -1.43262  | Fitness: -56.4942
Generation: 28 | -18.0926 -1.45706  | Fitness: -56.4925
Generation: 29 | -18.0811 -1.41424  | Fitness: -56.4925
Generation: 30 | -18.0926 -1.45706  | Fitness: -56.4925
Generation: 31 | -18.0787 -1.41093  | Fitness: -56.4925
Generation: 32 | -18.0796 -1.41072  | Fitness: -56.4925
Generation: 33 | -18.0796 -1.40551  | Fitness: -56.4925
Generation: 34 | -18.0796 -1.40551  | Fitness: -56.4925
Generation: 35 | -18.0735 -1.38581  | Fitness: -56.4925
Generation: 36 | -18.0735 -1.38581  | Fitness: -56.4925
Generation: 37 | -18.0735 -1.38581  | Fitness: -56.4925
Generation: 38 | -18.0735 -1.38581  | Fitness: -56.4925
Generation: 39 | -18.0735 -1.38581  | Fitness: -56.4925
Generation: 40 | -18.0789 -1.40796  | Fitness: -56.4925
Generation: 41 | -18.0789 -1.40796  | Fitness: -56.4925
Generation: 42 | -18.0726 -1.38606  | Fitness: -56.4925
Generation: 43 | -18.0726 -1.38606  | Fitness: -56.4925
Generation: 44 | -18.0726 -1.38606  | Fitness: -56.4925
Generation: 45 | -18.0722 -1.38466  | Fitness: -56.4925
Generation: 46 | -18.0727 -1.38668  | Fitness: -56.4925
Generation: 47 | -18.0727 -1.38668  | Fitness: -56.4925
Generation: 48 | -18.0725 -1.38595  | Fitness: -56.4925
Generation: 49 | -18.0724 -1.38528  | Fitness: -56.4925
Generation: 50 | -18.0722 -1.38463  | Fitness: -56.4925
