Generation: 1 | 3.0273 2.26231  | Fitness: -1.9998
Generation: 2 | -2.21763 2.00655  | Fitness: -1.9986
Generation: 3 | -3.05043 1.02212  | Fitness: -1.99993
Generation: 4 | -3.58427 0.332385  | Fitness: -1.99172
Generation: 5 | -3.09047 0.92348  | Fitness: -1.99995
Generation: 6 | -3.09047 0.92348  | Fitness: -1.99995
Generation: 7 | -3.00404 -6.01556  | Fitness: -1.99991
Generation: 8 | -5.65721 -4.23251  | Fitness: -1.99398
Generation: 9 | 0.271777 -1.07124  | Fitness: -1.98723
Generation: 10 | -1.4089 -5.72083  | Fitness: -1.98419
Generation: 11 | 0.118324 0.826522  | Fitness: -1.96591
Generation: 12 | -3.224 -1.64494  | Fitness: -1.89449
Generation: 13 | -3.17613 -1.19296  | Fitness: -1.99927
Generation: 14 | -3.31102 -3.81885  | Fitness: -1.98933
Generation: 15 | -2.96137 -3.84756  | Fitness: -1.99965
Generation: 16 | -4.15573 -1.81425  | Fitness: -1.96161
Generation: 17 | -0.117453 0.660015  | Fitness: -1.98123
Generation: 18 | -4.04998 -1.79639  | Fitness: -1.99737
Generation: 19 | -4.04998 -1.79639  | Fitness: -1.99737
Generation: 20 | -1.70084 -0.375681  | Fitness: -1.9996
Generation: 21 | -2.37124 -1.43213  | Fitness: -1.99446
Generation: 22 | -1.3018 -1.06462  | Fitness: -1.99545
Generation: 23 | -1.76172 -1.59312  | Fitness: -1.99974
Generation: 24 | -2.40121 -4.50487  | Fitness: -1.96753
Generation: 25 | -3.08777 -1.6393  | Fitness: -1.99195
Generation: 26 | -2.84115 -1.70862  | Fitness: -1.9974
Generation: 27 | -3.07654 -3.52998  | Fitness: -1.99307
Generation: 28 | -3.09616 -5.03901  | Fitness: -1.99718
Generation: 29 | -3.09616 -5.03901  | Fitness: -1.99718
Generation: 30 | -3.09616 -5.03901  | Fitness: -1.99718
Generation: 31 | -3.06659 -1.80607  | Fitness: -1.99999
Generation: 32 | -3.06659 -1.80607  | Fitness: -1.99999
Generation: 33 | -3.06659 -1.80607  | Fitness: -1.99999
Generation: 34 | -3.06659 -1.80607  | Fitness: -1.99999
Generation: 35 | -3.82812 -3.49089  | Fitness: -1.99035
Generation: 36 | -2.92811 -4.39337  | Fitness: -1.99633
Generation: 37 | -1.56461 -1.36497  | Fitness: -1.99794
Generation: 38 | -1.56461 -1.36497  | Fitness: -1.99794
Generation: 39 | -1.56461 -1.36497  | Fitness: -1.99794
Generation: 40 | -3.7297 -4.25219  | Fitness: -1.99964
Generation: 41 | -1.56461 -1.36497  | Fitness: -1.99794
Generation: 42 | -2.90361 -3.31075  | Fitness: -1.99937
Generation: 43 | -0.0261085 0.35767  | Fitness: -1.9994
